BeatId OldSortKey PlannedNewSortKey
------ ---------- -----------------
019ECBE0-C093-7D95-80D5-AFE0FDAEAF23 43400.0 1.0
019EC969-A434-7F00-8EF1-BF27A4A92B46 43500.0 2.0
019EC969-C69A-77D2-8AF4-B1F1396BA0FA 43600.0 3.0
019EC969-DF9F-7612-A5D4-5060CD32E4F6 43700.0 4.0
019EC969-F96E-7A46-A393-213A0C99A276 43800.0 5.0
019EC96A-147A-71EE-B1C0-FCD17611EFD9 43900.0 6.0
019EC96A-2E18-77DB-A076-5005ADC8FB42 44000.0 7.0
019ECBE0-D71B-7A1F-A41A-4EADFBD4230A 44100.0 8.0
019EC96A-48C9-741A-BC61-EA82F5C1E7B7 44200.0 9.0
019EC96A-66A9-7FEF-8E0D-4F0832D92BEA 44300.0 10.0
019EC96A-8217-75ED-A96B-E43C3DD8DC69 44400.0 11.0
019EC96A-A145-7973-BEAD-1AF93D4760D1 44500.0 12.0
019ECBF7-87DF-7CB4-B3C2-FCC932F79497 44600.0 13.0
019ECBE0-E595-73A5-9E2D-2D8F23F72C99 44700.0 14.0
019EC96A-BDF8-7082-A365-B65EE91A4E79 44800.0 15.0
019EC96A-DB14-75E0-AE65-3EC249041FB4 44900.0 16.0
019EC96A-F477-73C2-908B-465620599559 45000.0 17.0
019EC96B-0D7E-75F0-B3F4-05AC06C7339A 45100.0 18.0
019EC96B-2D8D-7FC4-89C8-95ED26FE7DFE 45200.0 19.0
019EC96B-4F0C-73FB-806A-DBC4B51224F9 45300.0 20.0
019EC96B-6740-7AB3-99C9-DEC94BE3DCEE 45400.0 21.0
019EC96B-82D5-7380-AC92-7A803115662A 45500.0 22.0
019EC96B-9C0D-763C-87EC-FFC426877413 45600.0 23.0
019EC96B-BA91-7C6D-9FF0-CBD2257DEC5D 45700.0 24.0
019EC96B-DA22-7DD0-B2E9-E46EC5B795FE 45800.0 25.0
019EC96B-FBCF-7BCA-9E60-FF7DCF085AAA 45900.0 26.0
019EC96C-1902-7976-B458-A3FC895A263A 46000.0 27.0
019EC96C-36C1-72C1-A1BE-C60B16341F11 46100.0 28.0
019EC96C-5474-7101-9D29-9DD6D398697A 46200.0 29.0
019EC9C5-1DBF-7F6E-9A87-E189A3CFF0D6 46300.0 30.0
019EC9C5-5100-78F2-8A86-8785926B8A72 46400.0 31.0
019EC9C5-8245-773B-BF7C-DF0E5D3C12C8 46500.0 32.0
019EC9C5-A8AB-76F6-A3F2-5E8C6051767C 46600.0 33.0
019EC9C5-E63F-7973-9CC7-60EC71E33474 46700.0 34.0
019EC9C6-1E55-7D23-971C-0C6E23D191B0 46800.0 35.0
019EC9C6-5897-75CD-BD52-A8A75D3D383B 46900.0 36.0
019EC9C6-97DB-7FA3-BDFC-C09F54CC73DA 47000.0 37.0
019EC9C6-D8AC-7078-AFD0-EC792AB11CF3 47100.0 38.0
019EC9C7-13B1-7E03-A385-E59E3C80951E 47200.0 39.0
019EC9C7-46CE-7D55-B1EC-4C4EF1626400 47300.0 40.0
019EC9C7-85FD-7B27-B31F-2A042FED04B5 47400.0 41.0
019EC9C7-CBB1-7B86-A5F0-781B50417C09 47500.0 42.0
019EC96C-70B8-7222-AF7E-6BA7B370CD4F 47600.0 43.0
019EC96C-7BB2-7F80-A668-AC093FA69860 47700.0 44.0
019EC96C-99C1-72DB-B4E3-0048AA8F8D4E 47800.0 45.0
019EC96C-B544-7FC6-A0F5-9470ACCF6CAA 47900.0 46.0
019EC96C-BDFA-7EAA-94DD-2FDA1A631DAA 48000.0 47.0
019EC96C-CEEC-7B99-9525-B3EFA40B01C5 48100.0 48.0
019EC96C-E727-78BF-AEEC-2EE85657E15E 48200.0 49.0
019EC96D-0BB3-700D-8DCC-27DDE1D97CFC 48300.0 50.0
019EC96D-23F9-726B-8427-6729F2F7ECA9 48400.0 51.0
019EC96D-3D12-740E-8A6D-B349D2A5F13D 48500.0 52.0
019EC96D-53A8-7BCF-A2B2-0A7513498ACE 48600.0 53.0
019EC96D-6C7B-714F-82F4-11731EDCBB6A 48700.0 54.0
019EC96D-8904-7F9F-A6B8-D087CFA36D76 48800.0 55.0
019EC96D-9F32-780C-8929-D0C50D20679E 48900.0 56.0

(56 rows affected)
BeatId OldSortKey PlannedNewSortKey
------ ---------- -----------------
ACD767DC-592C-4923-90A7-EFB5CCD135E1 8250.0 8902.0
019EC974-F8C4-7DC1-82B1-1690D7B22EE7 49000.0 8904.0
019EC975-10D6-7318-B0EA-569737D03F21 49100.0 8906.0
019EC975-22DB-79F1-9171-163610939405 49200.0 8908.0
019EC975-4097-7638-A832-F4872A574694 49300.0 8910.0
019EC975-5C72-7244-9CE8-6387F01ADE78 49400.0 8912.0
019ECB90-AAFE-7547-AE8C-583E10CE2AE3 49500.0 8914.0
019EC975-75B3-7A89-8389-275165C12ADF 49600.0 8916.0
019EC975-8F18-70F2-B783-6F6E8CAE16FA 49700.0 8918.0
019EC975-BC42-75C5-A849-FD7C146C38D1 49800.0 8920.0
019ECB91-4A75-7983-894A-B69906059C43 49900.0 8922.0
019EC975-D8B6-7113-A24C-B73F87FA2EF2 50000.0 8924.0
019EC976-005F-70ED-AB77-E3F40643001B 50100.0 8926.0
019EC976-1F39-78EC-86FD-6DB715F06216 50200.0 8928.0
019EC976-3B33-7AC4-9855-A5E3DE99C060 50300.0 8930.0
019EC976-53EA-74BA-9587-DC0E12C2BEC5 50400.0 8932.0
019EC976-6659-73AD-B179-681B41833CC4 50500.0 8934.0
019EC976-7E97-740A-9E46-B4EA93711C26 50600.0 8936.0
019EC976-9283-70BA-A765-179FF2681C79 50700.0 8938.0
019EC976-A2EB-7E2F-A07F-F951A064A5A2 50800.0 8940.0
019EC976-B9FC-77F4-8BF4-8010C4B3316C 50900.0 8942.0
019EC976-CC5D-7F4F-B680-827C32FBE877 51000.0 8944.0
019EC976-DB70-705F-983F-4522639D76B8 51100.0 8946.0
019EC976-F129-70F1-89FF-1D8D27CF8328 51200.0 8948.0
019EC976-FB34-7641-BD4E-9D81026DF00A 51300.0 8950.0
019EC977-128D-7A93-A8E8-E97C643CF4D6 51400.0 8952.0
019EC977-403B-717D-B71A-72F6E8D0D311 51600.0 8954.0
019EC977-56B5-72A4-B66A-76FA24BB8C3F 51700.0 8956.0
019EC977-6BF4-78DD-ACDF-1500B6F180B4 51800.0 8958.0
019EC977-8375-732E-9DFC-A4A730B11437 51900.0 8960.0
019EC977-98B7-7EDA-B568-1F54A70A76D8 52000.0 8962.0
019EC977-ACD0-7B39-85CF-179EC55B6ECA 52100.0 8964.0
019EC977-C9CE-77F6-A6EA-24CBBD31081C 52200.0 8966.0
