01	019ff768-d424-74de-814b-93c466efa3f0	prologue-tomorrow-s-train-019ff768	Prologue — Tomorrow's Train
02	019ff769-f9c2-7ce7-8568-68d117d25107	chapter-one-germania-019ff769	Chapter One — Germania
03	019ff76a-022c-751f-b308-b778cb27e8a4	chapter-two-the-boilermaker-s-son-019ff76a	Chapter Two — The Boilermaker's Son
04	019ff76a-0a96-7b0f-8cc8-f21ad51e398d	chapter-three-portage-019ff76a	Chapter Three — Portage
05	019ff76a-131a-7c4c-a08d-d5853c73d88c	chapter-four-a-house-that-used-to-be-a-farm-019ff76a	Chapter Four — A House That Used to Be a Farm
06	019ff76a-1c0e-7474-8055-b5b867f39cd2	chapter-five-the-reflections-019ff76a	Chapter Five — The Reflections
07	019ff76a-2473-77f2-a87a-fe70e6dbb787	chapter-six-waushara-industries-and-the-courthouse-019ff76a	Chapter Six — Waushara Industries and the Courthouse
08	019ff76a-2cba-7d60-9cad-185c8a3beb9f	chapter-seven-the-home-wrecker-and-puss-neck-019ff76a	Chapter Seven — The Home Wrecker and Puss Neck
09	019ff76a-34ff-7a39-b60a-728543d0e42e	chapter-eight-corn-windows-and-the-long-apprenticeship-of-getting-caught-019ff76a	Chapter Eight — Corn, Windows, and the Long Apprenticeship of Getting Caught
10	019ff76a-3d6d-762c-9869-37bbee1ca237	chapter-nine-niagara-washington-and-the-kind-of-luck-you-only-notice-later-019ff76a	Chapter Nine — Niagara, Washington, and the Kind of Luck You Only Notice Later
11	019ff76a-45cd-70a9-ae82-51a6ec98b746	chapter-ten-the-get-out-of-jail-free-card-019ff76a	Chapter Ten — The Get-Out-of-Jail-Free Card
12	019ff76a-4e28-7c82-9fc0-7530a401baef	chapter-eleven-full-circle-019ff76a	Chapter Eleven — Full Circle
13	019ff76a-567d-729d-bd97-2beae4d84036	chapter-twelve-nikki-s-road-019ff76a	Chapter Twelve — Nikki's Road
14	019ff76a-5ed1-7e20-b27e-11c179406fa7	chapter-thirteen-late-bloom-019ff76a	Chapter Thirteen — Late Bloom
15	019ff76a-6713-7a60-abaa-0b96338272eb	epilogue-the-train-to-portage-019ff76a	Epilogue — The Train to Portage
16	019ff76a-6f7f-7515-96b7-58a3be6dfda3	appendix-a-the-reflections-setlist-019ff76a	Appendix A — The Reflections Setlist
17	019ff76a-78af-7763-9cd7-8b29fdcf60c2	appendix-b-notes-on-sources-019ff76a	Appendix B — Notes on Sources
