id,file,old_name,new_name
019d6143a59d77bcb381e7ecf3716221,engine/data/people/019d6143a59d77bcb381e7ecf3716221.json,"Soren Hinojosa-Agyemang-Achebe","Aagje Hinojosa-Agyemang-Achebe"
019d6143a5a9709f9cacfd9193c0b7dc,engine/data/people/019d6143a5a9709f9cacfd9193c0b7dc.json,"Soren Árnason-Sengupta","Aaliya Árnason-Sengupta"
019d6143a5ca76cf9f2a6aa2e03a3e5c,engine/data/people/019d6143a5ca76cf9f2a6aa2e03a3e5c.json,"Soren Sokolov","Aaliyah Sokolov"
019d6143a60877239f8a3e5a097d07bf,engine/data/people/019d6143a60877239f8a3e5a097d07bf.json,"Soren Nanthawat","Aanya Nanthawat"
019d6143a613727f9a59d1f24e753615,engine/data/people/019d6143a613727f9a59d1f24e753615.json,"Soren Cervantes-Delgado","Aart Cervantes-Delgado"
019d6143a614758bb18faeebd3c0e391,engine/data/people/019d6143a614758bb18faeebd3c0e391.json,"Soren Guerrero","Aarush Guerrero"
019d6143a61a7523a1edb468caa7c08c,engine/data/people/019d6143a61a7523a1edb468caa7c08c.json,"Soren Khamvongsa","Abdul Khamvongsa"
019d6143a61d763db9d5bf8cce30de8c,engine/data/people/019d6143a61d763db9d5bf8cce30de8c.json,"Soren Mbekele-Owusu","Abdulla Mbekele-Owusu"
019d6143a6357247a8d75ead91fbc882,engine/data/people/019d6143a6357247a8d75ead91fbc882.json,"Soren Traoré-Zaragoza","Abdullah Traoré-Zaragoza"
019d6143a6377d78a14438af63cae902,engine/data/people/019d6143a6377d78a14438af63cae902.json,"Soren Dalgaard-Arredondo","Abeesh Dalgaard-Arredondo"
019d6143a65c743f945d2ec163ed2e4b,engine/data/people/019d6143a65c743f945d2ec163ed2e4b.json,"Soren Kuznetsov","Abhay Kuznetsov"
019d6143a6c077c1bc9c8cd11420765e,engine/data/people/019d6143a6c077c1bc9c8cd11420765e.json,"Soren Echeverría","Abhishek Echeverría"
019d6143a6c178e8b83c43edc743d932,engine/data/people/019d6143a6c178e8b83c43edc743d932.json,"Soren Johansson-Nygaard-Björnsdóttir","Abril Johansson-Nygaard-Björnsdóttir"
019d6143a6d977e590156c2710100923,engine/data/people/019d6143a6d977e590156c2710100923.json,"Soren Mohammadi","Adalberto Mohammadi"
019d6143a7337428ab6a9d09b8cf3875,engine/data/people/019d6143a7337428ab6a9d09b8cf3875.json,"Soren Lindström-Thorvaldsdóttir","Adanna Lindström-Thorvaldsdóttir"
019d6143a64a76d592b4102c066bf5f6,engine/data/people/019d6143a64a76d592b4102c066bf5f6.json,"Tatiana Volkov","Adaora Volkov"
019d6143a59e756ba0d619fdc8658069,engine/data/people/019d6143a59e756ba0d619fdc8658069.json,"Mika Thakur","Adebayo Thakur"
019d6143a5cf7069bc48c46e8b607b01,engine/data/people/019d6143a5cf7069bc48c46e8b607b01.json,"Mika Deshpande","Adebisi Deshpande"
019d6143a5f57cb3a0951d80d2e83942,engine/data/people/019d6143a5f57cb3a0951d80d2e83942.json,"Mika Möller-Saidov","Adedayo Möller-Saidov"
019d6143a601713fa37c921b504770bc,engine/data/people/019d6143a601713fa37c921b504770bc.json,"Mika Appiah","Adel Appiah"
019d6143a6277ddd84fad40ddac77668,engine/data/people/019d6143a6277ddd84fad40ddac77668.json,"Mika Malhotra-Larsdóttir","Adelmo Malhotra-Larsdóttir"
019d6143a6307956b19608afb8bcf784,engine/data/people/019d6143a6307956b19608afb8bcf784.json,"Mika Im-Kristjánsson","Adesua Im-Kristjánsson"
019d6143a64875a6b06defc0d539f1f6,engine/data/people/019d6143a64875a6b06defc0d539f1f6.json,"Mika Larsdóttir-Olofsson","Adimabua Larsdóttir-Olofsson"
019d6143a65371f0bbb879b3319647f1,engine/data/people/019d6143a65371f0bbb879b3319647f1.json,"Mika Ergashev-Tetteh","Aditi Ergashev-Tetteh"
